Date_month_1st,Price,Predicted_price,Residuals,Absolute_residuals,norm_residuals_percent
2018-06-01,750000.0,749797.625,202.375,202.375,0.00026983333333333335
2018-06-01,1630000.0,1829934.0,-199934.0,199934.0,0.12265889570552148
2018-06-01,970000.0,866455.0,103545.0,103545.0,0.10674742268041237
2018-06-01,790000.0,904894.5625,-114894.5625,114894.5625,0.14543615506329113
2018-06-01,1025000.0,854972.3125,170027.6875,170027.6875,0.1658806707317073
2018-06-01,1950000.0,1969848.5,-19848.5,19848.5,0.010178717948717948
2018-06-01,530000.0,490235.9375,39764.0625,39764.0625,0.07502653301886793
2018-06-01,1160000.0,952983.3125,207016.6875,207016.6875,0.17846266163793104
2018-06-01,925000.0,847645.6875,77354.3125,77354.3125,0.08362628378378378
2018-06-01,850000.0,837823.5,12176.5,12176.5,0.01432529411764706
2018-06-01,718000.0,628223.375,89776.625,89776.625,0.12503708217270196
2018-06-01,800000.0,1057763.0,-257763.0,257763.0,0.32220375
2018-06-01,595000.0,589310.0625,5689.9375,5689.9375,0.009562920168067228
2018-06-01,1681000.0,1921395.25,-240395.25,240395.25,0.14300728732897086
2018-06-01,530000.0,624955.1875,-94955.1875,94955.1875,0.17916073113207548
2018-06-01,1320000.0,1583759.5,-263759.5,263759.5,0.19981780303030303
2018-06-01,805000.0,1047370.4375,-242370.4375,242370.4375,0.3010812888198758
2018-06-01,1200000.0,1161734.375,38265.625,38265.625,0.031888020833333336
2018-06-01,1183000.0,1201119.0,-18119.0,18119.0,0.01531614539306847
2018-06-01,1350000.0,1259582.25,90417.75,90417.75,0.06697611111111111
2018-06-01,1000000.0,1051248.75,-51248.75,51248.75,0.05124875
2018-06-01,830000.0,892366.0625,-62366.0625,62366.0625,0.0751398343373494
2018-06-01,815000.0,816107.0625,-1107.0625,1107.0625,0.0013583588957055215
2018-06-01,727500.0,807420.6875,-79920.6875,79920.6875,0.10985661512027492
2018-06-01,4600000.0,3578554.25,1021445.75,1021445.75,0.22205342391304347
2018-06-01,1710000.0,1767408.625,-57408.625,57408.625,0.03357229532163743
2018-06-01,1700000.0,2098327.0,-398327.0,398327.0,0.23431
2018-06-01,2475000.0,2740477.5,-265477.5,265477.5,0.10726363636363637
2018-06-01,1270000.0,1193982.75,76017.25,76017.25,0.059856102362204726
2018-06-01,555500.0,748859.0625,-193359.0625,193359.0625,0.3480811206120612
2018-06-01,1451000.0,1260294.0,190706.0,190706.0,0.13143073742246728
2018-06-01,1420000.0,1865298.75,-445298.75,445298.75,0.3135906690140845
2018-06-01,2640000.0,2201877.25,438122.75,438122.75,0.1659555871212121
2018-06-01,950000.0,1618157.0,-668157.0,668157.0,0.7033231578947369
2018-06-01,1960000.0,2078288.75,-118288.75,118288.75,0.06035140306122449
2018-06-01,910000.0,793395.8125,116604.1875,116604.1875,0.12813646978021978
2018-06-01,862000.0,744965.0625,117034.9375,117034.9375,0.13577138921113688
2018-06-01,822000.0,928795.125,-106795.125,106795.125,0.12992107664233576
2018-06-01,652000.0,650793.875,1206.125,1206.125,0.0018498849693251533
2018-06-01,720000.0,701849.4375,18150.5625,18150.5625,0.025209114583333334
2018-06-01,810000.0,803250.5625,6749.4375,6749.4375,0.00833263888888889
2018-06-01,1740000.0,1791564.125,-51564.125,51564.125,0.02963455459770115
2018-06-01,1185000.0,1109412.875,75587.125,75587.125,0.06378660337552743
2018-06-01,392000.0,515888.53125,-123888.53125,123888.53125,0.31604217155612246
2018-06-01,1389000.0,1252908.875,136091.125,136091.125,0.09797777177825774
2018-06-01,1220000.0,1093774.25,126225.75,126225.75,0.10346372950819673
2018-06-01,663000.0,610951.0,52049.0,52049.0,0.0785052790346908
2018-06-01,1320500.0,1227513.0,92987.0,92987.0,0.07041802347595608
2018-06-01,1280000.0,1205810.625,74189.375,74189.375,0.05796044921875
2018-06-01,1100000.0,1109626.75,-9626.75,9626.75,0.008751590909090909
2018-06-01,1420000.0,1378004.625,41995.375,41995.375,0.029574207746478873
2018-06-01,1182000.0,1113842.0,68158.0,68158.0,0.057663282571912014
2018-06-01,1420000.0,1323123.375,96876.625,96876.625,0.06822297535211268
2018-06-01,490000.0,633198.375,-143198.375,143198.375,0.29224158163265307
2018-06-01,960000.0,958653.0625,1346.9375,1346.9375,0.0014030598958333334
2018-06-01,1758000.0,1509790.5,248209.5,248209.5,0.14118856655290102
2018-06-01,2250000.0,1810238.375,439761.625,439761.625,0.19544961111111112
2018-06-01,1570000.0,1424947.75,145052.25,145052.25,0.09238996815286624
